Title,Author,Year
REGIONAL DEVELOPMENT AND PLANNING,Janki Jiwan,2021
POLITICS OF REGIONAL DEVELOPMENT: A Case Study of Maharashtra,"Gautam Kamble,0
SOCIOLOGY OF UNDERDEVELOPMENT,Carle C. Zimmerman and Richard E. DuWors (eds),2021
SOCIAL DYNAMICS OF THE URBAN: Studies from India,N. Jayaram  (ed.),2021
LAND AND DISASTER MANAGEMENT STRATEGIES IN ASIA,Huong Ha (ed.),2021
DEVELOPMENT AND SUSTAINABILITY: India in a Global Perspective,Sarmila Banerjee and Anjan Chakrabarti (eds),2021
"URBAN TRANSPORTATION AND THE ENVIRONMENT: Issues, Alternatives and Policy Analysis",0
"URBANIZATION IN ASIA: Governance, Infrastructure and the Environment",0
"INEQUALITY, POVERTY AND DEVELOPMENT IN INDIA: Focus on the North Eastern Region",0
"DECENTRALIZATION, COOPERATIVES AND RURAL DEVELOPMENT",0
AGRICULTURE AND RURAL TRANSFORMATION: Issues and Challenges (With Special Reference to North-East India),B. Kilangla Jamir and Giribabu M. (Eds),2020
SMART AGRICULTURE: Ancient Wisdom and Modern Technology,"Punyatoya Patra,0
"EDUCATION, HEALTH AND CITIZENSHIP: Three Dimensions of Empowering Adolescents",0
AN INTRODUCTION TO URBAN GEOGRAPHY,John R. Short,2019
SOCIAL BUSINESS: Transformational approach to a fair and just society,Fons van der Velden (Ed.),2019
BUREAUCRACY AND DEVELOPMENT ADMINISTRATION: A Case Study of Karnataka,Mouneshwara Srinivasrao,2019
"GEOGRAPHY, RESOURCES AND ENVIRONMENT (2 Volume Set)",0
SOCIAL DYNAMICS OF INCLUSIVE DEVELOPMENT,Rani Mehta,2019
KEY ISSUES IN DEVELOPMENT STUDIES: From the Local to the Global (Third Edition),Gerard McCann and Stephen McCloskey (Eds.),2019
SOCIAL INCLUSION AND DEVELOPMENT,Richard Pais and M.H. Makwana (eds),2018
"TWO DECADES OF PANCHAYAT RAJ IN INDIA: Experiences, Issues,0
UNDERDEVELOPMENT AND NAXALISM IN INDIA: Reflexive Discourse and Debates,Smita Verma (ed),2018
"POPULATION, DEVELOPMENT AND ENVIRONMENT",0
ANTHROPOLOGY AND DEVELOPMENT: Understanding Contemporary Social Change,Jean-Pierre Olivier de Sardan,2018
DEVELOPMENT,Anthony Payne and Nicola Phillips,2018
"TRIBES, CASTES AND DEVELOPMENT: Scenario in Three Villages of Madhya Pradesh",0
SUSTAINABLE DEVELOPMENT GOALS AND PANCHAYATS,Rajesh Kumar Sinha (ed.),2018
"HUNGER, DEPRIVATION AND SOCIAL EXCLUSION: A Political Economy Perspective",0
RETHINKING TRIBE IN INDIAN CONTEXT: Realities Issues & Challenges ,Bidhan Kanti Das and Rajat Kanti Das (eds),2017
RURAL DEVELOPMENT: Theories of peasant economy and agrarian change ,John Harriss (ed.) ,2017
HUMAN DEVELOPMENT AND DISPARITIES: Issues and Concerns for Northeast India ,Anupam Hazra (ed.),2017
"MODERNITY, ETHNICITY AND DEVELOPMENT",0
